Termo de Busca,Ranking de Busca,ID do Anuncio,Titulo,Marca,Categoria,Preco (R$),Preco Original (R$),Desconto (%),Avaliacao (0-5),Qtd Avaliacoes,Vendas Estimadas,Faturamento Estimado (R$),Frete Gratis,FULL,Localizacao,Garantia,Link
Castanha Do Pará Quebrada 1kg,1,MLB3679708539,Castanha Do Pará Quebrada 1kg,Paulistana Empório,Frutas Secas,79.99,79.99,0,0,0,0,0,Nao,Sim,"Santos, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-3679708539
Castanha Do Pará Quebrada 1kg,2,MLB5177156936,Castanha Do Pará Quebrada Premium - 1kg,Armazém Bezerra,Frutas Secas,88.9,159,44,0,0,0,0,Nao,Sim,"Diadema, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-5177156936
Castanha Do Pará Quebrada 1kg,3,MLB4769841628,Castanha Do Pará Sem Casca Quebrada - 1kg,Puro Grão,Frutas Secas,87.22,163.5,47,0,0,0,0,Nao,Sim,"Araraquara, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-4769841628
Castanha Do Pará Quebrada 1kg,4,MLB3542293751,Castanha do Pará quebrada 1kg - P&p FIT,P&P Fit,Frutas Secas,76.58,149,49,0,0,0,0,Nao,Sim,"Belo Horizonte, Minas Gerais",Sem garantia,https://produto.mercadolivre.com.br/MLB-3542293751
Castanha Do Pará Quebrada 1kg,5,MLB4642263038,Castanha Do Pará Quebrada Natural 1kg - Divino Grão,Divino Grão,Frutas Secas,77.6,190,59,0,0,0,0,Nao,Sim,"Araraquara, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-4642263038
Castanha Do Pará Quebrada 1kg,6,MLB4651468154,Castanha Do Pará Quebrada 500g,Paulistana Empório,Frutas Secas,42.99,42.99,0,0,0,0,0,Nao,Sim,"Santos, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-4651468154
Castanha Do Pará Quebrada 1kg,7,MLB4644533444,Castanha Do Pará Sem Casca Quebrada - 1kg,Divino Grão,Frutas Secas,77.6,190,59,0,0,0,0,Nao,Sim,"Araraquara, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-4644533444
Castanha Do Pará Quebrada 1kg,8,MLB4643397013,Castanha Do Pará Partida 1kg - Quebrada Natural Do Norte,Natural do Norte,Frutas Secas,88.9,159.9,44,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-4643397013
Castanha Do Pará Quebrada 1kg,9,MLB5006072722,1kg Castanha Do Pará Quebrada Nova Safra Mundo Nutri,MUNDO NUTRI,Frutas Secas,79.99,189.99,58,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Garantia do vendedor: 7 dias,https://produto.mercadolivre.com.br/MLB-5006072722
Mix De Castanhas 1kg,1,MLB3673641107,Mix Castanhas Mix Nuts Original - 1kg,Upflora,Frutas Secas,59.9,69,13,0,0,0,0,Nao,Sim,"Diadema, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-3673641107
